happy-computer,1,happy computer,ハッピーコンピューター,ハピコ,パピコ,,
happy-rock,2,happy rock,ハッピーロック,ハピロ,パピロ,,
nuclear-wild-dog,3,nuclear wild dog,ニュークリアワイルドドッグ,核犬,,,
shuriken-corgi,4,shuriken corgi,シュリケンコーギー,手裏剣,,,
sorcerer-bear,5,sorcerer bear,ソーサラーベア,魔法使い熊,,,
mechatronic-robot,6,mechatronic robot,メカニックロボット,ロボ,,,
hell-rock,7,hell rock,ヘルロック,ヘルロ,地獄岩,,
wizard-westie,8,wizard westie,ウィザードウェスティ,魔法使い犬,,,
cyber-agony,9,cyber agony,サイバーアゴニー,テックキーのおまけ,,,
abyssal-jellyfish,10,abyssal jellyfish,アビサルジェリーフィッシュ,クラゲ,くらげ,,
kangaroo,11,kangaroo,カンガルー,おやこあい,kangaroo,,
elephant,12,elephant,エレファント,ゾウ,ぞう,象,
bison,13,bison,バイソン,前髪,,,
fluffy-cat,14,fluffy cat,フラッフィーキャット,ふわふわ猫,,,
temporal-owl,15,temporal owl,テンポラルオウル,時間フクロウ,,,
corrupt-butterfly,16,corrupt butterfly,コラプトバタフライ,黒蝶,黒死蝶,,
prison-cat,17,prison cat,プリズンキャット,脱獄猫,,,
cupcake,18,cupcake,カップケーキ,ケーキ,,,
chef-cat,19,chef cat,シェフキャット,料理猫,,,
giraffe,20,giraffe,キリン,きりん,樹木希林,,
red-panda,21,red panda,レッドパンダ,パンダ,ぱんだ,,
jolly-penguin,22,jolly penguin,ジョリーペンギン,冬ペンギン,,,
holographic-cat,23,holographic cat,ホログラフィックキャット,青猫,,,
zebra,24,zebra,ゼブラ,シマウマ,しまうま,,
goblin,25,goblin,ゴブリン,,,,
punksky,26,punksky,パンクスキー,パンクス,,,
jolly-narwhal,27,jolly narwhal,ジョリーイッカク,冬イッカク,,,
marshmallow-agony,28,marshmallow agony,マシュマロアゴニー,,,,
easter-dominus,29,easter dominus,イースタードミナス,ウサギドミナス,,,
robber-pug,30,robber pug,ロバーパグ,泥棒犬,泥棒パグ,,
plague-dragon,31,plague dragon,プラグドラゴン,ペストマスク,,,
pixel-corgi,32,pixel corgi,ピクセルコーギー,,,,
fossil-dragon,33,fossil dragon,フォッシルドラゴン,化石ドラゴン,,,
peacock,34,peacock,ピーコック,クジャク,,,
rave-jaguar,35,rave jaguar,レイブジャガー,ジャガー,,,
colorful-slime,36,colorful slime,カラフルスライム,レインボースライム,虹スライム,スライム,
koi-fish,37,koi fish,コイフィッシュ,鯉,錦鯉,こんにちは,こんにちは〜！
shadow-dominus,38,shadow dominus,シャドードミナス,,,,
knight-beagle,39,knight beagle,ナイトビーグル,ビーグル,,,
pumpkin-cat,40,pumpkin cat,パンプキンキャット,かぼちゃ猫,,,
enchanted-deer,41,enchanted deer,エンチャントデール,シカ,しか,,
easter-bunny,42,easter bunny,イースターバニー,ケニー,,,
festive-cat,43,festive cat,フェスティバルキャット,,,,
lunar-moth,44,lunar moth,ルナモス,蛾,月光蛾,ゲッコウガ,ｹﾞｯｺｳｶﾞｧ･･･
pterodactyl,45,pterodactyl,プテロダクティル,プテラノドン,プテラ,,
crocodile,46,crocodile,クロコダイル,わに,ワニ,,
bee,47,bee,ビー,ハチ,はち,,
ghost,48,ghost,ゴースト,幽霊,,,
dino-dog,49,dino dog,ディノドッグ,恐竜犬,,,
squirrel,50,squirrel,スクワーレル,リス,りす,,
hacked-cat,51,hacked cat,ハックキャット,ハック猫,,,
error-cat,52,error cat,エラーキャット,エラー猫,,,
mushroom-raccoon,53,mushroom raccoon,マッシュルームラクーン,キノコタヌキ,しいたけ,まいたけ,
poseidon-corgi,54,poseidon corgi,ポセイドンコーギー,,,,
uv-kitsune,55,uv kitsune,UVキツネ,日焼け九尾,,,
mrs.-claws,56,mrs claws,ミセスクロース,めがねこ,,,
night-terror-cat,57,night terror cat,ナイトテラーキャット,,,,
kitsune-fox,58,kitsune-fox,kitsune,キツネフォックス,九尾,,
evil-imp,59,evil imp,エビルインプ,,,,
scary-cat,60,scary cat,スケアリーキャット,コウモリ猫,こうもり猫,ねこうもり,
pixel-cat,61,pixel cat,ピクセルキャット,ピクセル猫,,,
scary-corgi,62,scary corgi,スケアリーコーギー,コウモリコーギー,こうもりコーギー,,
leprechaun-cat,63,leprechaun cat,レプラコーンキャット,レプラコーン猫,レプラコーン,レプラ,
avenging-griffin,64,avenging griffin,アヴェンジンググリフィン,,,,
helicopter-cat,65,helicopter cat,ヘリコプターキャット,ヘリ猫,ヘリコプター,,
mermaid-cat,66,mermaid cat,マーメイドキャット,人魚猫,,,
rich-cat,67,rich cat,リッチキャット,リッチ猫,,,
crystal-dog,68,crystal dog,クリスタルドッグ,,,,
party-dragon,69,party dragon,パーティードラゴン,,,,
mosaic-corgi,70,mosaic corgi,モザイクコーギー,,,,
bat,71,bat,バット,コウモリ,こうもり,,
rave-meebo-in-a-spaceship,72,rave meebo in a spaceship,レイブミーボ,,,,
evolved-hell-rock,73,evolved hell rock,エヴォルドヘルロック,進化ヘルロック,進化地獄岩,,
hacker-axolotl,74,hacker axolotl,ハックアホロートル,ハックウーパールーパー,ハックウーパー,,
propeller-cat,75,propeller cat,プロペラーキャット,プロペラ猫,,,
pineapple-cat,76,pineapple cat,パイナップルキャット,パイナップル猫,パイン猫,,
quantum-agony,77,quantum-agony,クァンタムアゴニー,,,,
techno cat,78,techno cat,テクノキャット,テクノ猫,,,
whale-shark,79,whale shark,ホエールシャーク,ホエール,くじら,クジラ,
strawberry-corgi,80,strawberry corgi,ストロベリーコーギー,イチゴコーギー,,,
divinus,81,divinus,ディビヌス,,,,
pineapple-monkey,82,pineapple monkey,パイナップルモンキー,パイナップルサル,パインサル,,
king-cobra,83,king cobra,キングコブラ,,,,
cupid-corgi,84,cupid corgi,キューピッドコーギー,,,,
chroma-lucki,85,chroma lucki,クロマラッキー,,,,
fancy-axolotl,86,fancy axolotl,ファンシーアホロートル,ファンシーウーパールーパー,ファンシーウーパー,,
rave-butterfly,87,rave butterfly,レイブバタフライ,紫蝶,,,
dark-lord,88,dark lord,ダークロード,,,,
uv-cat,89,uv cat,UVキャット,UV猫,日焼け猫,,
vibrant-toucan,90,vibrant toucan,ビブラントトウカン,オオハシ,トウカン,,
scarecrow cat,91,scarecrow cat,スケアクローキャット,かかし猫,,,
skateboard-bulldog,92,skateboard bulldog,スケートブルドッグ,ブルドッグ,ソース,,
empyrean-agony,93,empyrean agony,エンペリアンアゴニー,,,,
storm-dominus,94,storm dominus,ストームドミナス,,,,
sapphire-phoenix,95,sapphire phoenix,サファイアフェニックス,,,,
mosaic-lamb,96,mosaic lamb,モザイクラム,,,,
stealth-dragon,97,stealth-dragon,ステルスドラゴン,忍者ドラゴン,,,
egg-dino,98,Egg Dino,エッグディノ,ヨッシー,,,
mosaic-griffin,99,mosaic griffin,モザイクグリフィン,,,,
doodle-cat,100,doodle cat,ドードルキャット,落書き猫,,,
big-maskot,101,big maskot,ビッグマスコット,,,,
rave-troll,102,rave troll,レイブトロール,トロル,,,
dragon,103,dragon,ドラゴン,ドラ,,,
404-demon,104,404 demon,404デーモン,404,,,
electric-penguin,105,Electric Penguin,エレクトリックペンギン,電気ペンギン,,,
mech-dino,106,mech dino,メカディノ,メカバンギラス,,,
knife-cat,107,knife cat,ナイフキャット,ナイフ猫,,,
cosmic-axolotl,108,cosmic axolotl,コズミックアホロートル,,,,
unicorn-dragon,109,unicorn dragon,ユニコーンドラゴン,,,,
nightfall-wolf,110,nightfall wolf,ナイトフォールウルフ,,,,
dog,111,dog,ドッグ,犬,,,
elf-cat,112,elf cat,エルフキャット,,,,
orca,113,orca,オルカ,シャチ,,,
elf-dog,114,elf dog,エルフドッグ,,,,
willow-wisp,115,willow wisp,ウィローウィスプ,,,,
skeleton,116,skeleton,スケルトン,骨,サンズ,パピルス,
kawaii-dragon,117,kawaii dragon,カワイイドラゴン,ゆい,,,
tech-chest-mimic,118,tech chest mimic,テックチェストミミック,,,,
electric-dino,119,electric dino,エレクトリックディノ,電気恐竜,,,
doodle-fairy,120,doodle fairy,ドードルフェアリー,落書き妖精,,,
hologram-shark,121,hologram shark,ホログラムシャーク,,,,
chroma-phoenix,122,chroma phoenix,クロマフェニックス,白フェニックス,,,
hippomelon,123,hippomelon,ヒッポメロン,スイカ,,,
warrior-wolf,124,warrior wolf,ウォーリアウルフ,,,,
gecko,125,gecko,ゲッコ,ヤモリ,,,
devil-dominus,126,devil dominus,デビルドミナス,,,,
atomic-forged-shark,127,atomic forged shark,アトミックフォージドシャーク,,,,
jester-dog,128,jester dog,ジェスタードッグ,ジョーカー,,,
holiday-pegasus,129,holiday pegasus,ホリデーペガサス,,,,
electric-cat,130,electric cat,エレクトリックキャット,エレクトリック猫,,,
flex-fluffy-cat,131,flex fluffy cat,フレックスフラッフィーキャット,マダム,,,
colorful-wisp,132,colorful wisp,カラーウィスプ,,,,
elegant-eagle,133,elegant eagle,エレガントイーグル,,,,
grinch-cat,134,grinch cat,グリンチキャット,,,,
nightfall-pegasus,135,nightfall pegasus,ナイトフォールペガサス,,,,
redstone-cat,136,redstone cat,レッドストーンキャット,赤石猫,,,
neon-cat,137,neon cat,ネオンキャット,ネオン猫,,,
balloon-dragon,138,balloon dragon,バルーンドラゴン,風船ドラゴン,,,
floppa,139,floppa,フロッパ,カラカル,,,
luxe-peacock,140,luxe peacock,ラグジーピーコック,ダイヤクジャク,,,
black-hole-axolotl,141,black hole axolotl,ブラックホールアホロートル,ブラックホールウーパールーパー,黒ウーパー,,
nightmare-spirit,142,nightmare spirit,ナイトメアスピリット,,,,
inferno-dominus,143,inferno dominus,インフェルノドミナス,,,,
mantis-shrimp,144,mantis shrimp,マンティスシュリンプ,シャコ,,,
Jelly-Corgi,145,Jelly Corgi,ジェリーコーギー,,,,
Disco-Ball-Dragon,146,Disco Ball Dragon,ディスコボールドラゴン,,,,
Painted-Cat,147,Painted Cat,ペイントキャット,,,,
Luau-Cat,148,Luau Cat,ルアウキャット,ルアウ猫,,,
Pop-Cat,149,Pop Cat,ポップキャット,ポップ猫,,,
Cosmic-Agony,150,Cosmic Agony,コズミックアゴニー,,,,
Forest-Wyvern,151,Forest Wyvern,フォレストワイバーン,,,,
Anime-Unicorn,152,Anime Unicorn,アニメユニコーン,,,,
Tiedye-Cat,153,Tiedye Cat,タイダイキャット,タイダイ猫,,,
Emoji-Cat,154,Emoji Cat,エモジキャット,絵文字猫,,,
Stealth-Bobcat,155,Stealth Bobcat,ステルスボブキャット,,,,
Mr-Krabs,156,Mr Krabs,ミスタークラブ,カーニ,カーニさん,,
Party-Axolotl,157,Party Axolotl,パーティーアホロートル,パーティーウーパールーパー,パーティーウーパー,,
Balloon-Cat,158,balloon Cat,バルーンキャット,赤バルーンキャット,赤風船猫,,
Celestial-Dragon,159,Celestial Dragon,セレスティアルドラゴン,,,,
Exquisite-Parrot,160,Exquisite Parrot,エキサイトパロット,,,,
Super-Corgi,161,Super Corgi,スーパーコーギー,,,,
Tiedye-Corgi,162,Tiedye Corgi,タイダイコーギー,,,,
Gargoyle-Dragon,163,Gargoyle Dragon,ガーゴイルドラゴン,,,,
Devil-Agony,164,Devil Agony,デビルアゴニー,,,,
Cyborg-Dragon,165,Cyborg Dragon,サイボーグドラゴン,,,,
Snowman,166,Snowman,スノーマン,雪だるま,,,
Jelly-Axolotl,167,Jelly Axolotl,ジェリーアホロートル,ジェリーウーパールーパー,ジェリーウーパー,,
Sage-Axolotl,168,Sage Axolotl,セイジアホロートル,セイジウーパールーパー,セイジウーパー,天使ウーパー,
Lucky-Cat,169,Lucky Cat,ラッキーキャット,招き猫,まねきねこ,,
Classic-Dog,170,Classic Dog,クラシックドッグ,,,,
Strawberry-Cow,171,Strawberry Cow,ストロベリーカウ,いちごうし,イチゴウシ,苺牛,
Pastel-Elephant,172,Pastel Elephant,パステルエレファント,,,,
Stargazing-Wolf,173,Stargazing Wolf,スターゲイジングウルフ,星観測オオカミ,,,
Hologram-Axolotl,174,Hologram Axolotl,ホログラムアホロートル,ホログラムウーパールーパー,ホログラムウーパー,,
Bejeweled-Unicorn,175,bejeweled Unicorn,ビージュエルドユニコーン,,,,
Sketch-Corgi,176,Sketch Corgi,スケッチコーギー,,,,
Blazing-Shark,177,blazing Shark,ブレイジングシャーク,,,,
Clover-Unicorn,178,Clover Unicorn,クローバーユニコーン,,,,
Ninja-Axolotl,179,Ninja Axolotl,ニンジャアホロートル,ニンジャウーパールーパー,ニンジャウーパー,忍者ウーパー,
Green-Balloon-Cat,180,Green Balloon Cat,グリーンバルーンキャット,緑バルーンキャット,緑風船猫,,
Chef-Monkey,181,Chef Monkey,シェフモンキー,,,,
Hydra-Dino,182,Hydra Dino,ヒドラディノ,,,,
Grim-Reaper,183,Grim Reaper,グリムリーパー,死神,,,
Pixel-Dragon,184,Pixel Dragon,ピクセルドラゴン,,,,
Cheerful-Yeti,185,Cheerful Yeti,チアフルイエティ,イエティ,陽気なイエティ,,
Atlantean-Orca,186,Atlantean Orca,アトラシアンオルカ,アトラシアンシャチ,,,
Super-Tiger,187,Super Tiger,スーパータイガー,アイアンマン,,,
Hot-Dog,188,Hot Dog,ホットドッグ,,,,
Peppermint-Angelus,189,Peppermint Angelus,ペパーミントアンジェラス,,,,
Pony,190,Pony,ポニー,,,,
Flex-Tiger,191,Flex Tiger,フレックスタイガー,,,,
M-10-PROTOTYPE,192,M-10 PROTOTYPE,m10,,,,
Neon-Griffin,193,Neon Griffin,ネオングリフィン,,,,
Purple-Dragon,194,Purple Dragon,パープルドラゴン,,,,
Amethyst-Dragon,195,Amethyst Dragon,アメジストドラゴン,,,,
Present-Chest-Mimic,196,Present Chest Mimic,プレゼントチェストミミック,,,,
Valkyrie-Dog,197,Valkyrie Dog,ヴァルキリードッグ,,,,
Good-vs-Evil-Cat,198,Good vs Evil Cat,善悪猫,,,,
Comet-Cyclops,199,Comet Cyclops,コメットサイクロプス,隕石サイクロプス,,,
Clover-Fairy,200,Clover Fairy,クローバーフェアリー,,,,
Balloon-Axolotl,201,balloon Axolotl,バルーンアホロートル,バルーンウーパールーパー,バルーンウーパー,風船ウーパー,
Valentines-Cat,202,Valentines Cat,バレンタインキャット,バレキャ,クロネス,,
Pristine-Snake,203,Pristine Snake,プリスティンスネーク,,,,
